time,open,high,low,close,Buy Signal,Sell Signal
6/9/2022,409.34,411.74,401.44,401.44,0,0
6/10/2022,394.88,395.7777,389.75,389.8,0,0
6/13/2022,379.85,381.81,373.3,375,0,0
6/14/2022,376.85,377.94,370.59,373.87,0,0
6/15/2022,377.36,383.9,372.12,379.2,0,0
6/16/2022,370.51,370.94,364.0799,366.65,0,0
6/17/2022,365.51,369.38,362.17,365.86,0,0
6/21/2022,371.89,376.525,371.81,375.07,0,0
6/22/2022,370.62,378.72,370.18,374.39,0,0
6/23/2022,376.64,378.83,372.89,378.06,0,0
6/24/2022,381.4,390.09,381.365,390.08,0,0
6/27/2022,391.05,391.36,387.44,388.59,0,0
6/28/2022,390.23,393.16,380.53,380.65,0,0
6/29/2022,381.23,382.27,378.42,380.34,0,0
6/30/2022,376.24,380.6582,372.56,377.25,0,0
7/1/2022,376.56,381.7,373.8,381.24,0,0
7/5/2022,375.88,381.98,372.9,381.96,0,0
7/6/2022,382.11,385.87,379.6,383.25,0,0
7/7/2022,385.12,389.83,383.267,388.99,0,0
7/8/2022,387.27,390.64,385.66,388.67,0,0
7/11/2022,385.85,386.87,383.5,384.23,0,0
7/12/2022,383.65,386.16,378.99,380.83,0,0
7/13/2022,375.1,381.92,374.658,378.83,0,0
7/14/2022,373.61,378.57,371.04,377.91,0,0
7/15/2022,382.55,385.25,380.54,385.13,0,0
7/18/2022,388.38,389.09,380.66,381.95,0,0
7/19/2022,386.08,392.87,385.39,392.27,0,0
7/20/2022,392.47,396.26,391.03,394.77,0,0
7/21/2022,394.16,398.84,391.63,398.79,1,0
7/22/2022,398.92,400.18,392.75,395.09,0,0
7/25/2022,395.75,396.47,393.21,395.57,0,0
7/26/2022,393.84,394.06,389.95,390.89,0,0
7/27/2022,394.36,402.88,394.05,401.04,0,0
7/28/2022,401.89,406.8,398.15,406.07,0,0
7/29/2022,407.58,413.03,406.77,411.99,0,0
8/1/2022,409.15,413.41,408.4,410.77,0,0
8/2/2022,409.12,413,406.82,408.06,0,0
